Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Pulling Punches","Quarry > Belle Isle1 > Central & Southern VA Region > Virginia",https://www.mountainproject.com/route/107637265/pulling-punches,2.9,-1,"Sport, TR",5.8,1,25,37.52831,-77.4559
"Black Diamond","Quarry > Belle Isle1 > Central & Southern VA Region > Virginia",https://www.mountainproject.com/route/118330348/black-diamond,3.0,-1,TR,5.9,1,20,37.52831,-77.4559
"Minute Maid's Folley","Quarry > Belle Isle1 > Central & Southern VA Region > Virginia",https://www.mountainproject.com/route/116667357/minute-maids-folley,3.0,-1,TR,5.8,1,45,37.52831,-77.4559
"Pulling Punches +1","Quarry > Belle Isle1 > Central & Southern VA Region > Virginia",https://www.mountainproject.com/route/120247202/pulling-punches-1,3.0,-1,"Sport, TR",5.7,1,,37.52831,-77.4559
"Table Top","Quarry > Belle Isle1 > Central & Southern VA Region > Virginia",https://www.mountainproject.com/route/118316376/table-top,2.7,-1,TR,5.8,1,30,37.52831,-77.4559
"Dynamite Chute","Quarry > Belle Isle1 > Central & Southern VA Region > Virginia",https://www.mountainproject.com/route/118316331/dynamite-chute,2.5,-1,TR,5.9,1,30,37.52831,-77.4559
"Black Hole","Quarry > Belle Isle1 > Central & Southern VA Region > Virginia",https://www.mountainproject.com/route/118330409/black-hole,2.5,-1,TR,5.8,1,20,37.52831,-77.4559
"Leaning Dihedral","Quarry > Belle Isle1 > Central & Southern VA Region > Virginia",https://www.mountainproject.com/route/118316275/leaning-dihedral,2.0,-1,TR,5.7,1,25,37.52831,-77.4559
Spider,"Quarry > Belle Isle1 > Central & Southern VA Region > Virginia",https://www.mountainproject.com/route/118330298/spider,2.0,-1,TR,5.9,1,20,37.52831,-77.4559
Styrofoam,"Quarry > Belle Isle1 > Central & Southern VA Region > Virginia",https://www.mountainproject.com/route/118330448/styrofoam,2.0,-1,TR,5.8-,1,25,37.52831,-77.4559
"White Wash","Quarry > Belle Isle1 > Central & Southern VA Region > Virginia",https://www.mountainproject.com/route/107637280/white-wash,2.0,-1,TR,5.9-,1,25,37.52831,-77.4559
"Roof Route","Amphitheatre > Belle Isle1 > Central & Southern VA Region > Virginia",https://www.mountainproject.com/route/117526726/roof-route,1.0,-1,TR,5.9+,1,40,37.52882,-77.45455
