Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Country Club Crack","Castle Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105748711/country-club-crack,3.9,-1,Trad,5.11c,2,,39.9787,-105.4551
"Athlete's Feat","Castle Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105749872/athletes-feat,3.4,-1,Trad,5.11-,5,,39.9787,-105.4551
"By Gully","Castle Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105760530/by-gully,3.0,-1,Trad,5.9+,1,30,39.9787,-105.4551
"Curving Crack","Castle Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105749293/curving-crack,2.7,-1,Trad,5.9+,1,,39.9787,-105.4551
"Comeback Crack","Castle Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105758587/comeback-crack,2.6,-1,Trad,5.10b,1,,39.9787,-105.4551
"Bailey's Overhang","Castle Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105748708/baileys-overhang,2.6,-1,Trad,5.8,1,90,39.9787,-105.4551
Tongo,"Castle Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105749893/tongo,2.8,-1,Trad,5.11a,2,,39.9787,-105.4551
"Cussin' Crack","Castle Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105748705/cussin-crack,2.5,-1,Trad,5.7+,3,,39.9787,-105.4551
"Skunk Crack","Castle Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105757534/skunk-crack,2.5,-1,Trad,5.9+,1,80,39.9787,-105.4551
"Storming the Castle","Castle Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/106118679/storming-the-castle,2.7,-1,Sport,5.11,1,50,39.9787,-105.4551
"The Black Crack","Castle Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105749899/the-black-crack,2.3,-1,Trad,5.9+,1,,39.9787,-105.4551
"Coffin Crack","Castle Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105758410/coffin-crack,2.4,-1,Trad,5.10b,1,60,39.9787,-105.4551
"Englishman's Home","Castle Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105757945/englishmans-home,3.9,-1,Trad,5.11+,2,150,39.9787,-105.4551
"South Face","Castle Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105750373/south-face,2.7,-1,Trad,5.9+,3,250,39.9787,-105.4551
"Atlas Shrugged","Castle Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105749896/atlas-shrugged,3.1,-1,Trad,"5.11+ R",1,,39.9787,-105.4551
"Beetle Bailey","Castle Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/106522797/beetle-bailey,2.6,-1,Sport,5.10,1,70,39.9787,-105.4551
"Final Exam","Castle Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105758341/final-exam,2.6,-1,Trad,5.11a,1,80,39.9787,-105.4551
"Jackson's Wall Direct","Castle Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105757072/jacksons-wall-direct,2.6,-1,Trad,5.9+,3,250,39.9787,-105.4551
"The Sting","Castle Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/106987720/the-sting,3.3,-1,Trad,5.11,1,100,39.9787,-105.4551
"Candelaria's Connection","Castle Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/112866080/candelarias-connection,3.5,-1,Trad,"5.10 R",4,260,39.9787,-105.4551
"Dropout Option","Castle Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/107673404/dropout-option,3.3,-1,Trad,5.11d,1,100,39.9787,-105.4551
"Pass Fail Option","Castle Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105758344/pass-fail-option,2.4,-1,Trad,5.11,1,50,39.9787,-105.4551
"Polyester Leisure Suit","Castle Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105757729/polyester-leisure-suit,1.7,-1,"Trad, Sport, TR",5.11b,1,90,39.9787,-105.4551
"Boot Lead","Castle Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105755746/boot-lead,2.3,-1,"Trad, TR","5.11d X",1,,39.9787,-105.4551
"Gluten Free","Castle Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/107578406/gluten-free,2.2,-1,"Trad, Sport",5.10,1,70,39.9787,-105.4551
"Water World","Castle Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105838180/water-world,2.5,-1,"Trad, Sport",5.11-,1,90,39.9787,-105.4551
"Cadaver Crack","Castle Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/107588737/cadaver-crack,2.5,-1,Trad,5.11-,1,30,39.9787,-105.4551
"The Queen is Dead","Castle Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/108315973/the-queen-is-dead,1.9,-1,Trad,5.11-,1,30,39.9787,-105.4551
"Route 66","Castle Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/112171507/route-66,2.0,-1,Trad,5.9,1,90,39.9787,-105.4551
Deersquatch,"Castle Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105751549/deersquatch,2.0,-1,"Trad, TR","5.11c R",1,,39.9787,-105.4551
"The Big Splash","Castle Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105955297/the-big-splash,1.4,-1,Sport,5.10,2,120,39.9787,-105.4551
"E-Z Action","Castle Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105954668/e-z-action,1.7,-1,Trad,5.9,1,30,39.9787,-105.4551
"Circadian Rhythms","Castle Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105759636/circadian-rhythms,1.2,-1,Trad,5.9,1,60,39.9787,-105.4551
"Invisible Idiot","Castle Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105759972/invisible-idiot,1.5,-1,"Trad, TR","5.9+ R",1,70,39.9787,-105.4551
"Big Deal Pinnacle (AKA: Square Diehl)","Castle Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105759975/big-deal-pinnacle-aka-square-diehl,1.5,-1,Trad,5.9,2,150,39.9787,-105.4551
"Direct Start","Castle Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/107588747/direct-start,1.3,-1,Trad,"5.8 PG13",1,120,39.9787,-105.4551
"Times Past","Castle Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105759936/times-past,1.0,-1,Trad,"5.9 R",1,80,39.9787,-105.4551
"Born to be Wild","Castle Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/121099275/born-to-be-wild,1.0,-1,Trad,5.11c,1,70,39.9787,-105.4551
"No Fly Zone","Castle Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/106532511/no-fly-zone,1.0,-1,Trad,"5.10+ R",1,,39.9787,-105.4551
"Cussing Fingers Variant","Castle Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105980538/cussing-fingers-variant,1.0,-1,Trad,5.9+,2,150,39.9787,-105.4551
