Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Dementia,"Happy Hour Crag > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105748412/dementia,3.3,-1,"Trad, TR",5.10a,1,,40.0033,-105.3939
Nightcap,"Happy Hour Crag > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105750520/nightcap,2.8,-1,"Trad, TR",5.9,1,100,40.0033,-105.3939
Grins,"Happy Hour Crag > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105748418/grins,2.8,-1,"Trad, TR",5.8,1,,40.0033,-105.3939
Twofers,"Happy Hour Crag > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105748385/twofers,2.5,-1,"Trad, TR",5.8,1,,40.0033,-105.3939
"Last Call","Happy Hour Crag > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105748636/last-call,2.8,-1,"Trad, TR",5.9+,1,,40.0033,-105.3939
"Cheers aka Thrill of the Chaise","Happy Hour Crag > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105751477/cheers-aka-thrill-of-the-chaise,2.3,-1,"Trad, TR",5.10-,1,,40.0033,-105.3939
"Twofers  Bypass","Happy Hour Crag > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105748388/twofers-bypass,2.1,-1,"Trad, TR",5.8,1,,40.0033,-105.3939
Malign,"Happy Hour Crag > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105756556/malign,2.1,-1,"Trad, TR",5.7,1,,40.0033,-105.3939
"I, Robot","Happy Hour Crag > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105748367/i-robot,1.8,-1,"Trad, TR",5.7,1,,40.0033,-105.3939
"Are We Not Men","Happy Hour Crag > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105748373/are-we-not-men,1.8,-1,"Trad, TR","5.7 PG13",1,,40.0033,-105.3939
"Are We Not Robots","Happy Hour Crag > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/106159945/are-we-not-robots,1.9,-1,"Trad, TR",5.7,1,80,40.0033,-105.3939
"Hands Off","Happy Hour Crag > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105758317/hands-off,1.7,-1,Trad,5.7+,1,100,40.0033,-105.3939
"The Big Spit","Happy Hour Crag > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105756553/the-big-spit,2.0,-1,Trad,5.9,1,,40.0033,-105.3939
Teetotaler,"Happy Hour Crag > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105756568/teetotaler,2.0,-1,"Trad, TR",5.11a,1,100,40.0033,-105.3939
"Last Laugh","Happy Hour Crag > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105756565/last-laugh,2.2,-1,"Trad, Sport, TR",5.11a,1,100,40.0033,-105.3939
"The Great Race","Happy Hour Crag > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105759765/the-great-race,2.1,-1,Trad,5.10-,1,40,40.0033,-105.3939
Tipsey,"Happy Hour Crag > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105756559/tipsey,2.0,-1,"Trad, TR",5.9,1,,40.0033,-105.3939
"Cruel Shoes","Happy Hour Crag > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105748439/cruel-shoes,1.3,-1,TR,5.9,1,,40.0033,-105.3939
"Skid Row","Happy Hour Crag > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105756562/skid-row,1.8,-1,Trad,"5.9+ R",1,,40.0033,-105.3939
"Seein' Double","Happy Hour Crag > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105762609/seein-double,0.8,-1,TR,5.11a,1,70,40.0033,-105.3939
"Perched-Pillar Pile","Happy Hour Crag > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/113743374/perched-pillar-pile,1.3,-1,Trad,5.9,1,95,40.0033,-105.3939
"Bent Faith","Happy Hour Crag > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105759762/bent-faith,0.9,-1,Trad,5.7,1,60,40.0033,-105.3939
"Bad Sneakers","Happy Hour Crag > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105748430/bad-sneakers,0.8,-1,TR,5.9+,1,,40.0033,-105.3939
