Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Toxic Hueco","2 Toxic Hueco Area > Lower Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106494909/toxic-hueco,3.9,-1,Sport,5.11d,1,80,38.15323,-80.93233
"Just Another Pretty Face","3 Greatest Show Area > Lower Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/107138716/just-another-pretty-face,3.4,-1,Sport,5.11b,1,70,38.15303,-80.93231
"By the Way, I Did Your Mom","2 Toxic Hueco Area > Lower Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106892109/by-the-way-i-did-your-mom,3.0,-1,Trad,5.10-,1,60,38.15323,-80.93233
Chimpanzabubbas,"2 Toxic Hueco Area > Lower Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106765758/chimpanzabubbas,3.1,-1,Trad,5.10c,1,80,38.15323,-80.93233
"Ghandian Dilution","2 Toxic Hueco Area > Lower Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106892150/ghandian-dilution,2.9,-1,Sport,5.11c,1,80,38.15323,-80.93233
"Cat Food","2 Toxic Hueco Area > Lower Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106703654/cat-food,2.8,-1,Sport,5.11d,1,75,38.15323,-80.93233
"Begoon/Artz Corner","3 Greatest Show Area > Lower Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/108443815/begoonartz-corner,3.8,-1,Trad,5.9+,1,100,38.15303,-80.93231
Trojans,"2 Toxic Hueco Area > Lower Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106491043/trojans,3.5,-1,Trad,5.11c,1,60,38.15323,-80.93233
"Tabasco Fur","4 Moon Wall > Lower Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106765674/tabasco-fur,3.3,-1,Trad,5.10a,1,80,38.15369,-80.93558
"Mr. Mogley","5 Sunkist Wall > Lower Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106491844/mr-mogley,3.3,-1,Sport,5.11c,1,70,38.15655,-80.93978
"Winter Harvest","4 Moon Wall > Lower Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106491999/winter-harvest,2.4,-1,Sport,5.10c,1,80,38.15369,-80.93558
Arachniphobia,"5 Sunkist Wall > Lower Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106491911/arachniphobia,3.6,-1,Trad,5.9,1,70,38.15655,-80.93978
"Bust a Move","4 Moon Wall > Lower Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106765628/bust-a-move,2.9,-1,Sport,5.10d,1,60,38.15369,-80.93558
