Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
McKenna,"C) Second Pillar > Manchester Wall > Central & Southern VA Region > Virginia",https://www.mountainproject.com/route/108060902/mckenna,2.8,-1,"Trad, Sport",5.8,1,,37.53023,-77.44534
"The Mortar the Merrier","A) Main Wall > Manchester Wall > Central & Southern VA Region > Virginia",https://www.mountainproject.com/route/107784666/the-mortar-the-merrier,2.4,-1,"Sport, TR",5.8,1,,37.5296,-77.4459
"Hooked on a Feeling","A) Main Wall > Manchester Wall > Central & Southern VA Region > Virginia",https://www.mountainproject.com/route/106175783/hooked-on-a-feeling,2.1,-1,"Sport, TR",5.7+,1,,37.5296,-77.4459
"Fun and Games","A) Main Wall > Manchester Wall > Central & Southern VA Region > Virginia",https://www.mountainproject.com/route/107784677/fun-and-games,2.5,-1,Sport,5.8,1,,37.5296,-77.4459
"Voodoo Doll","B) First Pillar > Manchester Wall > Central & Southern VA Region > Virginia",https://www.mountainproject.com/route/106175777/voodoo-doll,2.3,-1,Sport,5.7,1,,37.52985,-77.44566
Tendinitis,"A) Main Wall > Manchester Wall > Central & Southern VA Region > Virginia",https://www.mountainproject.com/route/107784716/tendinitis,3.1,-1,"Trad, Sport, TR","5.10d R",1,55,37.5296,-77.4459
"Root Canal","A) Main Wall > Manchester Wall > Central & Southern VA Region > Virginia",https://www.mountainproject.com/route/107784693/root-canal,2.5,-1,Sport,5.10a,1,,37.5296,-77.4459
"Take It for Granite","A) Main Wall > Manchester Wall > Central & Southern VA Region > Virginia",https://www.mountainproject.com/route/107784671/take-it-for-granite,2.3,-1,Sport,5.9-,1,,37.5296,-77.4459
"Snakes Above","B) First Pillar > Manchester Wall > Central & Southern VA Region > Virginia",https://www.mountainproject.com/route/107919734/snakes-above,2.4,-1,Sport,5.7,1,,37.52985,-77.44566
"Crown of Thorns","C) Second Pillar > Manchester Wall > Central & Southern VA Region > Virginia",https://www.mountainproject.com/route/108060893/crown-of-thorns,2.9,-1,Trad,5.8+,1,,37.53023,-77.44534
Nemesis,"C) Second Pillar > Manchester Wall > Central & Southern VA Region > Virginia",https://www.mountainproject.com/route/108060910/nemesis,2.5,-1,Sport,5.11a,1,,37.53023,-77.44534
Proctologist,"A) Main Wall > Manchester Wall > Central & Southern VA Region > Virginia",https://www.mountainproject.com/route/107784711/proctologist,2.6,-1,"Trad, Sport",5.10a,1,,37.5296,-77.4459
"J Route","A) Main Wall > Manchester Wall > Central & Southern VA Region > Virginia",https://www.mountainproject.com/route/107784697/j-route,2.6,-1,"Trad, Sport",5.9+,1,,37.5296,-77.4459
"Lost Friend","A) Main Wall > Manchester Wall > Central & Southern VA Region > Virginia",https://www.mountainproject.com/route/107787228/lost-friend,2.7,-1,Sport,5.10a,1,,37.5296,-77.4459
"Bits and Pieces","A) Main Wall > Manchester Wall > Central & Southern VA Region > Virginia",https://www.mountainproject.com/route/107787263/bits-and-pieces,2.2,-1,Sport,5.8,1,,37.5296,-77.4459
"Piton Route","A) Main Wall > Manchester Wall > Central & Southern VA Region > Virginia",https://www.mountainproject.com/route/107784685/piton-route,3.0,-1,"Trad, Sport",5.9,1,,37.5296,-77.4459
"Who Cares Man?","D) Third Pillar > Manchester Wall > Central & Southern VA Region > Virginia",https://www.mountainproject.com/route/108060937/who-cares-man,3.0,-1,Sport,5.9,1,,37.5306,-77.445
Acapulco,"D) Third Pillar > Manchester Wall > Central & Southern VA Region > Virginia",https://www.mountainproject.com/route/108060980/acapulco,3.0,-1,Trad,5.9,1,,37.5306,-77.445
"Pulp Friction","C) Second Pillar > Manchester Wall > Central & Southern VA Region > Virginia",https://www.mountainproject.com/route/108060897/pulp-friction,2.5,-1,Trad,5.11a,1,25,37.53023,-77.44534
Exodus,"A) Main Wall > Manchester Wall > Central & Southern VA Region > Virginia",https://www.mountainproject.com/route/107787241/exodus,2.5,-1,"Trad, Sport",5.10b,1,,37.5296,-77.4459
Voodoo,"A) Main Wall > Manchester Wall > Central & Southern VA Region > Virginia",https://www.mountainproject.com/route/107787258/voodoo,2.3,-1,Sport,5.10a,1,,37.5296,-77.4459
"Femme Fatale","A) Main Wall > Manchester Wall > Central & Southern VA Region > Virginia",https://www.mountainproject.com/route/107787275/femme-fatale,2.4,-1,"Trad, Sport",5.9,1,,37.5296,-77.4459
"Top It or Drop It","A) Main Wall > Manchester Wall > Central & Southern VA Region > Virginia",https://www.mountainproject.com/route/107787248/top-it-or-drop-it,2.2,-1,"Trad, Sport",5.10a/b,1,,37.5296,-77.4459
"Pro For It","B) First Pillar > Manchester Wall > Central & Southern VA Region > Virginia",https://www.mountainproject.com/route/110117900/pro-for-it,2.1,-1,Trad,5.7,1,30,37.52985,-77.44566
"Cary's Route","D) Third Pillar > Manchester Wall > Central & Southern VA Region > Virginia",https://www.mountainproject.com/route/110960584/carys-route,2.4,-1,Sport,5.8+,1,25,37.5306,-77.445
"Well Hung","A) Main Wall > Manchester Wall > Central & Southern VA Region > Virginia",https://www.mountainproject.com/route/107787254/well-hung,2.3,-1,"Trad, Sport",5.10a,1,,37.5296,-77.4459
"Chock It Up","C) Second Pillar > Manchester Wall > Central & Southern VA Region > Virginia",https://www.mountainproject.com/route/108060885/chock-it-up,2.4,-1,Trad,5.9,1,,37.53023,-77.44534
