Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Under the Milky Way","The Long Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/105918478/under-the-milky-way,3.9,-1,Sport,5.11d,1,70,38.24137,-80.84379
"Satisfaction Guaranteed","The Satisfaction Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/105918469/satisfaction-guaranteed,3.8,-1,Sport,5.11a/b,1,65,38.24161,-80.8422
"Maximum Overdrive","The Long Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/105994645/maximum-overdrive,3.3,-1,Sport,5.11c,1,70,38.24137,-80.84379
Mutiny,"Pirate's Cove > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/105918475/mutiny,3.7,-1,Sport,5.11+,1,75,38.2427,-80.8485
"She got the Bosch, I got Drilled","Orange Oswald Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106002567/she-got-the-bosch-i-got-drilled,3.2,-1,Sport,5.10a,1,90,38.2422,-80.83949
"Baby With A Nail Gun","Orange Oswald Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106818549/baby-with-a-nail-gun,3.1,-1,Sport,5.10c,1,80,38.2422,-80.83949
"Barfing Butterflies","Orange Oswald Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/105997978/barfing-butterflies,3.0,-1,Sport,5.11b,1,85,38.2422,-80.83949
"Hippie Dreams","Orange Oswald Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/105992273/hippie-dreams,2.9,-1,Sport,5.7,1,75,38.2422,-80.83949
"Flight Path","The Long Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/107094773/flight-path,2.9,-1,Sport,5.10b,1,40,38.24137,-80.84379
"Orange Oswald","Orange Oswald Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/105918472/orange-oswald,2.9,-1,Sport,5.10a,1,70,38.2422,-80.83949
"Going Ballistic","The Long Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106603133/going-ballistic,2.9,-1,Sport,5.10d,1,50,38.24137,-80.84379
"Strong Arming the Little Guy","Orange Oswald Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106156848/strong-arming-the-little-guy,2.9,-1,Sport,5.10b,1,70,38.2422,-80.83949
"The Hell With That","Orange Oswald Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106942184/the-hell-with-that,2.8,-1,Trad,5.9,1,,38.2422,-80.83949
"Menace Alert","The Long Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/105993751/menace-alert,2.8,-1,Sport,5.9+,1,50,38.24137,-80.84379
"Process of Elimination","DC Memorial Boulder > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/105992269/process-of-elimination,2.7,-1,Sport,5.11b,1,45,38.24156,-80.84428
Chewy,"The Long Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/105993756/chewy,2.7,-1,Sport,5.10b,1,40,38.24137,-80.84379
