Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"The Big Dipper","Upper Wall > The Clock Tower > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105748885/the-big-dipper,2.9,-1,Sport,5.10d,1,,39.97207,-105.46336
"Owl On The Prowl","Owl Prow > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105755044/owl-on-the-prowl,2.7,-1,Sport,5.11b,1,,39.9728,-105.4636
"The Other One","West Face > Surprising Crag > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105753604/the-other-one,2.7,-1,Sport,5.11a,1,,39.97304,-105.46352
"Rubber Chicken","Chicken Wall > The Clock Tower > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105752272/rubber-chicken,2.4,-1,Sport,5.10c,1,,39.97234,-105.4631
"The Fix","South Face > Surprising Crag > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105754732/the-fix,2.4,-1,Sport,5.11a,1,,39.97305,-105.46306
"Killer Fish Taco","South Face > Surprising Crag > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105754729/killer-fish-taco,2.3,-1,Sport,5.11a,1,,39.97305,-105.46306
"The Touch","South Face > Surprising Crag > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105749824/the-touch,2.2,-1,"Trad, Sport",5.8,1,,39.97305,-105.46306
"Chicken Lips","Chicken Wall > The Clock Tower > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105752275/chicken-lips,2.2,-1,Sport,5.11b,1,,39.97234,-105.4631
"Choss Temple Pilots","South Face > Surprising Crag > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105752299/choss-temple-pilots,2.1,-1,Sport,5.8,1,,39.97305,-105.46306
"Alfa Chick","Chicken Wall > The Clock Tower > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105752278/alfa-chick,2.1,-1,Sport,5.11+,1,,39.97234,-105.4631
"Chicken Hawk","Chicken Wall > The Clock Tower > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105748876/chicken-hawk,2.1,-1,"Sport, TR",5.9,1,,39.97234,-105.4631
"Monkey Bob","South Face > Surprising Crag > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105764040/monkey-bob,2.0,-1,"Sport, TR",5.8,1,,39.97305,-105.46306
"Chicken Delight","Chicken Wall > The Clock Tower > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105752269/chicken-delight,2.0,-1,Sport,5.10b,1,,39.97234,-105.4631
"Chasing Sticks","South Face > Surprising Crag > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105755278/chasing-sticks,1.9,-1,Sport,5.9,1,,39.97305,-105.46306
"Platinum Curl","South Face > Surprising Crag > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105752233/platinum-curl,1.9,-1,Sport,5.11b,1,,39.97305,-105.46306
"Wavy Gravy","South Face > Surprising Crag > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105764187/wavy-gravy,1.8,-1,Sport,5.10a,1,50,39.97305,-105.46306
"Dirty Dave's Dumpster Dive","South Face > Surprising Crag > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105764181/dirty-daves-dumpster-dive,1.8,-1,Sport,5.10a,1,50,39.97305,-105.46306
"Dutch Oven","South Face > Surprising Crag > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105752227/dutch-oven,1.8,-1,Sport,5.9,1,,39.97305,-105.46306
"Vitamin V","South Face > Surprising Crag > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105764184/vitamin-v,1.8,-1,Sport,5.9,1,50,39.97305,-105.46306
"Double Down","South Face > Surprising Crag > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105764166/double-down,1.7,-1,Sport,5.9+,1,50,39.97305,-105.46306
Frictionary,"South Face > Surprising Crag > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105749821/frictionary,1.7,-1,"Sport, TR",5.7,1,,39.97305,-105.46306
"Geek in the Creek","The Visor > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105751867/geek-in-the-creek,1.5,-1,Sport,5.8,1,,39.97313,-105.46275
"Flying Machines","The Visor > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105748867/flying-machines,1.9,-1,Sport,5.11a,1,,39.97313,-105.46275
"Linking Logs","Owl Prow > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105835496/linking-logs,2.5,-1,Sport,5.11c,1,70,39.9728,-105.4636
"Hood Surfing In Socks","South Face > Surprising Crag > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105752230/hood-surfing-in-socks,1.7,-1,Sport,5.11c,1,,39.97305,-105.46306
"Wessel in the Chicken Coop","Chicken Wall > The Clock Tower > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105751024/wessel-in-the-chicken-coop,1.5,-1,Sport,5.9,1,,39.97234,-105.4631
"Mommy Blocker","Chicken Wall > The Clock Tower > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105752284/mommy-blocker,1.4,-1,Sport,5.10a,1,,39.97234,-105.4631
"Infra-Red Riding Hood","Upper Wall > The Clock Tower > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105752368/infra-red-riding-hood,1.7,-1,Sport,5.10a,1,,39.97207,-105.46336
"Butt Luscious","Upper Wall > The Clock Tower > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105749533/butt-luscious,2.7,-1,Sport,5.11+,1,,39.97207,-105.46336
"Wise Crack","West Face > Surprising Crag > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105758590/wise-crack,1.7,-1,Sport,5.8,1,60,39.97304,-105.46352
"Ground Zero","Owl Prow > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105755041/ground-zero,2.2,-1,Sport,5.11c/d,1,,39.9728,-105.4636
"Hair of the Dog","The Visor > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105751864/hair-of-the-dog,1.3,-1,Sport,5.10a,1,,39.97313,-105.46275
"Owl JuJu","Owl Prow > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105868274/owl-juju,2.0,-1,Sport,5.11a,1,60,39.9728,-105.4636
"Daddy Blocker","Chicken Wall > The Clock Tower > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105752281/daddy-blocker,1.4,-1,Sport,5.11a,1,,39.97234,-105.4631
"Space Goats","West Face > Surprising Crag > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/107281525/space-goats,2.9,-1,Sport,5.11c/d,1,70,39.97304,-105.46352
"Three Little Pigs","Upper Wall > The Clock Tower > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/106002738/three-little-pigs,1.9,-1,Sport,5.11a,1,65,39.97207,-105.46336
"Pocket Fisherman","West Face > Surprising Crag > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105868232/pocket-fisherman,1.8,-1,Sport,5.11a/b,1,65,39.97304,-105.46352
"Room With A View","The Sky Cafe > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/121338123/room-with-a-view,3.3,-1,Sport,5.10b/c,1,60,39.9726,-105.4648
"Mother Goose","Upper Wall > The Clock Tower > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105752371/mother-goose,1.8,-1,Sport,5.10b/c,1,,39.97207,-105.46336
Amber,"West Face > Surprising Crag > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/109206282/amber,2.9,-1,Trad,"5.11+ PG13",1,60,39.97304,-105.46352
"South Crack","South Face > Surprising Crag > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105764760/south-crack,1.8,-1,"Trad, TR",5.8,1,60,39.97305,-105.46306
"Power Line Pup","West Face > Surprising Crag > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/122471999/power-line-pup,3.0,-1,Trad,"5.11a/b PG13",1,75,39.97304,-105.46352
"Bone Home","The Visor > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105752224/bone-home,1.8,-1,Sport,5.10+,1,,39.97313,-105.46275
"Rain Dance","The Sky Cafe > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/119307077/rain-dance,2.6,-1,Sport,5.10d,1,50,39.9726,-105.4648
"Yin Pin (aka Stonefish)","The Stone Cafe > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/107951451/yin-pin-aka-stonefish,2.7,-1,Sport,5.10d,1,80,39.9726,-105.4648
"Warm Up","Overhung Wall > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/106066531/warm-up,1.9,-1,Sport,5.11,1,40,39.9726,-105.4648
"Dyno Monkey","The Visor > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105748864/dyno-monkey,1.7,-1,"Sport, TR",5.11c,1,,39.97313,-105.46275
"Leave it to Beaver","Upper Wall > The Clock Tower > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/106555935/leave-it-to-beaver,2.0,-1,Sport,5.11c/d,1,50,39.97207,-105.46336
"Stone Soup","The Stone Cafe > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/107951349/stone-soup,2.3,-1,Trad,5.9+,1,55,39.9726,-105.4648
Jaws,"Recovery Room > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105751861/jaws,1.5,-1,Sport,5.11a/b,1,,39.9726,-105.4648
"Gruel Shoes","The Stone Cafe > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/107951461/gruel-shoes,2.3,-1,Sport,5.9-,1,65,39.9726,-105.4648
