Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Coffindaffer's Dream","4. Third Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/108768795/coffindaffers-dream,3.8,-1,Sport,5.11-,1,90,38.14336,-80.91556
Ferrovieri,"3. Second Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/113785114/ferrovieri,3.6,-1,Sport,5.7,1,100,38.14295,-80.91755
Vanished,"4. Third Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106494923/vanished,3.6,-1,Sport,5.11c,1,80,38.14336,-80.91556
"Cross Eyed and Blind","1. First Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106550243/cross-eyed-and-blind,3.5,-1,Sport,5.11a,1,80,38.14319,-80.91967
Floaters,"1. First Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106550348/floaters,3.4,-1,Sport,5.10d,1,80,38.14319,-80.91967
"Pistol Whip","3. Second Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/109050963/pistol-whip,3.3,-1,Sport,5.11c,1,70,38.14295,-80.91755
"One Banana","3. Second Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/108938386/one-banana,3.2,-1,Sport,5.11a,1,70,38.14295,-80.91755
Supermoon,"4. Third Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/108768800/supermoon,3.1,-1,Sport,5.11-,1,100,38.14336,-80.91556
Alleluja,"4. Third Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/109532099/alleluja,3.1,-1,Sport,5.10c,1,106,38.14336,-80.91556
Meathead,"4. Third Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106493826/meathead,3.0,-1,Sport,5.11c,1,90,38.14336,-80.91556
"Mr. Cute","4. Third Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/107159878/mr-cute,3.0,-1,Sport,5.11a,1,80,38.14336,-80.91556
"Rodent's Party","3. Second Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/110967550/rodents-party,2.9,-1,Sport,5.10c,1,65,38.14295,-80.91755
"Lady Punk","1. First Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106960810/lady-punk,2.7,-1,Sport,5.10c,1,80,38.14319,-80.91967
"King Lichen Me","4. Third Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/109023567/king-lichen-me,2.7,-1,Sport,5.10a,1,55,38.14336,-80.91556
Berecik,"0. Zero Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/109419449/berecik,2.7,-1,Sport,5.8,1,60,38.14399,-80.92018
"Girl Boner","0. Zero Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/111054432/girl-boner,2.6,-1,Sport,5.9,1,60,38.14399,-80.92018
"Frog Hunt","3. Second Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/112305851/frog-hunt,2.5,-1,Sport,5.10b,1,60,38.14295,-80.91755
Bullocks,"3. Second Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/107159897/bullocks,2.5,-1,Sport,5.9,1,50,38.14295,-80.91755
"Nasty Wieners","0. Zero Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/109308672/nasty-wieners,2.4,-1,Sport,5.9+,1,65,38.14399,-80.92018
Infatuation,"0. Zero Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/110261733/infatuation,2.3,-1,Sport,5.7,1,60,38.14399,-80.92018
"Ben Dunne","1. First Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106919793/ben-dunne,3.0,-1,Trad,5.10a,1,70,38.14319,-80.91967
"Ikar Lost","3. Second Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/112305844/ikar-lost,2.7,-1,Sport,5.10c,1,60,38.14295,-80.91755
"Lieutenant Tomek","4. Third Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/109033631/lieutenant-tomek,2.1,-1,Sport,5.9+,1,55,38.14336,-80.91556
"The Wanderer","4. Third Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/108842050/the-wanderer,1.8,-1,Sport,5.10a/b,1,60,38.14336,-80.91556
"Destroying Angel","0. Zero Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/111054408/destroying-angel,1.8,-1,Sport,5.10a/b,1,65,38.14399,-80.92018
Minotaur,"3. Second Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/114216111/minotaur,3.2,-1,Sport,5.11c,1,80,38.14295,-80.91755
Sausage,"1. First Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106562033/sausage,2.4,-1,Sport,5.11b,1,40,38.14319,-80.91967
"You, Watch the Clocks!","1. First Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/112305837/you-watch-the-clocks,3.1,-1,Sport,5.10c,1,90,38.14319,-80.91967
Moselstraße,"4. Third Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/109427654/moselstrasse,2.5,-1,Sport,5.10d,1,90,38.14336,-80.91556
