Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"The Nose","2. Southwest Face > B. El Capitan > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105924807/the-nose,3.9,-1,"Trad, Aid","5.9 C2",31,3000,37.73051,-119.63828
"Salathe Wall","2. Southwest Face > B. El Capitan > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/106154042/salathe-wall,3.9,-1,"Trad, Aid","5.9 C2",35,3500,37.73051,-119.63828
Astroman,"I. Washington Column > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105845493/astroman,4.0,-1,Trad,5.11c,10,1000,37.74778,-119.559
"Sons of Yesterday","Western Royal Arches > Royal Arches > H. Royal Arches Area > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105862915/sons-of-yesterday,3.9,-1,Trad,5.10-,6,600,37.74873,-119.57265
"Serenity Crack","Western Royal Arches > Royal Arches > H. Royal Arches Area > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105862912/serenity-crack,3.8,-1,Trad,"5.10d PG13",3,350,37.74873,-119.57265
Freeblast,"2. Southwest Face > B. El Capitan > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105991737/freeblast,3.6,-1,Trad,5.11,10,950,37.73051,-119.63828
"The Nutcracker Suite (aka Nutcracker)","5. Manure Pile Buttress (aka Ranger Rock) > C. El Cap Picnic Area (Eagle Creek) > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105833505/the-nutcracker-suite-aka-nutcracker,3.6,-1,Trad,5.8,5,500,37.73059,-119.619
"Royal Arches (5.10- or 5.7 A0)","Central Royal Arches > Royal Arches > H. Royal Arches Area > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105862881/royal-arches-510-or-57-a0,3.4,-1,"Trad, Aid","5.10a/b A0",15,2000,37.74724,-119.57128
"Lurking Fear","2. Southwest Face > B. El Capitan > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/106110258/lurking-fear,3.5,-1,"Trad, Aid","5.7 C2",19,2000,37.73051,-119.63828
"Sacherer Cracker","The Slack to West Buttress > Southwest Base > 1. Base Routes > B. El Capitan > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105945535/sacherer-cracker,3.8,-1,Trad,5.10a,1,150,37.73009,-119.63786
"East Buttress","4. East Buttress > B. El Capitan > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105833467/east-buttress,3.5,-1,Trad,5.10b,9,1200,37.73,-119.62548
"Lost Arrow Tip","Lost Arrow Spire > E. Yosemite Falls Area > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105912192/lost-arrow-tip,3.8,-1,"Trad, Aid","5.7 C2",2,250,37.75604,-119.5941
"The Moratorium","1. Schultz's Ridge > C. El Cap Picnic Area (Eagle Creek) > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105874604/the-moratorium,3.8,-1,Trad,5.11b,4,,37.72843,-119.62458
"Salathe (pitch 1)","Moby Dick and Pterodactyl Terrace > Southwest Base > 1. Base Routes > B. El Capitan > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105870703/salathe-pitch-1,3.8,-1,Trad,5.10c,1,160,37.72875,-119.63724
"Bishops Terrace","G. Church Bowl > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105872317/bishops-terrace,3.6,-1,Trad,5.8,1,150,37.74908,-119.58015
"Moby Dick Center","Moby Dick and Pterodactyl Terrace > Southwest Base > 1. Base Routes > B. El Capitan > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105870188/moby-dick-center,3.7,-1,Trad,5.10a,1,150,37.72875,-119.63724
"Crest Jewel (and Crest Jewel Direct)","J. North Dome > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105862890/crest-jewel-and-crest-jewel-direct,3.7,-1,"Trad, Sport","5.10 R",15,1200,37.75783,-119.56211
"South Face","I. Washington Column > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105847471/south-face,3.5,-1,"Trad, Aid","5.8 C1",11,1200,37.74778,-119.559
"Jo Jo","I. Washington Column > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/106748196/jo-jo,3.8,-1,Trad,5.10,1,85,37.74778,-119.559
Ahab,"Moby Dick and Pterodactyl Terrace > Southwest Base > 1. Base Routes > B. El Capitan > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105872907/ahab,3.7,-1,Trad,5.10b,1,155,37.72875,-119.63724
"The Prow","I. Washington Column > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105911858/the-prow,3.6,-1,"Trad, Aid","5.8 C2",12,1200,37.74778,-119.559
"South Face Route","J. North Dome > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105984188/south-face-route,3.6,-1,Trad,5.8,7,900,37.75783,-119.56211
Commitment,"First Tier > Five Open Books > E. Yosemite Falls Area > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105867013/commitment,3.4,-1,Trad,5.9,3,320,37.74798,-119.59857
Jamcrack,"Sunnyside Bench > E. Yosemite Falls Area > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105866367/jamcrack,3.4,-1,Trad,5.9,2,160,37.7507,-119.59446
"Nutcracker 5.9 Start Variation","5. Manure Pile Buttress (aka Ranger Rock) > C. El Cap Picnic Area (Eagle Creek) > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105862632/nutcracker-59-start-variation,3.5,-1,Trad,5.9,2,200,37.73059,-119.619
"Absolutely Free, Center","2. Lower Brother > D. Camp 4 Area > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/106451171/absolutely-free-center,3.4,-1,Trad,5.9,3,700,37.73378,-119.61232
"Super Hands (aka Ranger Crack)","Lower Falls Amphitheater > E. Yosemite Falls Area > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105914577/super-hands-aka-ranger-crack,3.3,-1,Trad,5.8,1,70,37.75124,-119.59748
"Super Slide","Western Royal Arches > Royal Arches > H. Royal Arches Area > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105915124/super-slide,3.2,-1,Trad,5.9,5,500,37.74873,-119.57265
Selaginella,"Second Tier > Five Open Books > E. Yosemite Falls Area > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/106097044/selaginella,3.1,-1,Trad,5.8,4,560,37.75023,-119.59906
Dagger,"Lower Falls Amphitheater > E. Yosemite Falls Area > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/106029002/dagger,3.6,-1,Trad,5.11a,1,100,37.75124,-119.59748
"Positively 4th Street","2. Lower Brother > D. Camp 4 Area > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105986641/positively-4th-street,3.2,-1,Trad,5.9,2,150,37.73378,-119.61232
"After Seven","5. Manure Pile Buttress (aka Ranger Rock) > C. El Cap Picnic Area (Eagle Creek) > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105874735/after-seven,3.1,-1,Trad,5.8,1,115,37.73059,-119.619
"After Six","5. Manure Pile Buttress (aka Ranger Rock) > C. El Cap Picnic Area (Eagle Creek) > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105862639/after-six,2.9,-1,Trad,5.7,5,600,37.73059,-119.619
"West Face","2. Southwest Face > B. El Capitan > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/106065890/west-face,3.7,-1,Trad,5.11c,20,1800,37.73051,-119.63828
"The Surprise","First Tier > Five Open Books > E. Yosemite Falls Area > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105992030/the-surprise,3.1,-1,Trad,5.10a,3,400,37.74798,-119.59857
"La Cosita, Right","Little John and La Cosita > Southwest Base > 1. Base Routes > B. El Capitan > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105877768/la-cosita-right,3.1,-1,Trad,5.9,1,,37.72953,-119.63752
"Lazy Bum","Sunnyside Bench > E. Yosemite Falls Area > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105878833/lazy-bum,3.1,-1,Trad,5.10d,2,160,37.7507,-119.59446
"Werner's Ant Trees","First Tier > Five Open Books > E. Yosemite Falls Area > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105945908/werners-ant-trees,3.1,-1,Trad,5.10c,1,75,37.74798,-119.59857
"Lena's Lieback","A. Swan Slab > E. Yosemite Falls Area > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105867066/lenas-lieback,2.9,-1,Trad,5.9,3,190,37.74499,-119.5999
"Guiding Light","Lower Falls Amphitheater > E. Yosemite Falls Area > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105874750/guiding-light,2.9,-1,Trad,5.10b,1,80,37.75124,-119.59748
"The Shield","2. Southwest Face > B. El Capitan > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/107429493/the-shield,3.9,-1,"Trad, Aid","5.8 A3 PG13",30,2900,37.73051,-119.63828
"Pine Line","Moby Dick and Pterodactyl Terrace > Southwest Base > 1. Base Routes > B. El Capitan > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105841118/pine-line,2.7,-1,Trad,5.7,1,70,37.72875,-119.63724
"Arrowhead Arête","Arrowhead Arete > E. Yosemite Falls Area > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/106269845/arrowhead-arete,3.3,-1,Trad,5.8,7,,37.7558,-119.58906
"Little John, Right","Little John and La Cosita > Southwest Base > 1. Base Routes > B. El Capitan > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105877935/little-john-right,2.8,-1,Trad,5.8,3,,37.72953,-119.63752
"Lightweight Guides","Lower Falls Amphitheater > E. Yosemite Falls Area > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105874757/lightweight-guides,2.8,-1,Trad,5.10b,1,,37.75124,-119.59748
"Trial By Fire","Western Royal Arches > Royal Arches > H. Royal Arches Area > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/106348791/trial-by-fire,2.7,-1,Trad,5.8,1,150,37.74873,-119.57265
