Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Snake Dike","3. Southwest Face > D. Half Dome > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105836362/snake-dike,3.6,-1,Trad,"5.7 R",8,2000,37.73971,-119.54003
"Regular Northwest Face of Half Dome (RNWF)","1. Northwest Face > D. Half Dome > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105912416/regular-northwest-face-of-half-dome-rnwf,3.9,-1,"Trad, Aid","5.9 C1",23,2200,37.74685,-119.5336
"Central Pillar of Frenzy","6. Middle Cathedral Rock > P. Cathedral Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105862930/central-pillar-of-frenzy,3.8,-1,Trad,5.9,5,500,37.7165,-119.6363
Steck-Salathe,"M. Sentinel Rock > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105862873/steck-salathe,3.8,-1,Trad,5.10-,15,,37.72958,-119.59381
"Mr. Natural","6. GPA - Right Side > I. Glacier Point Apron > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105954972/mr-natural,3.9,-1,Trad,5.10+,1,160,37.7337,-119.56956
Voyager,"Fifi Buttress > Q. Leaning Tower Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/109039598/voyager,3.8,-1,Trad,5.11c,7,700,37.71073,-119.65013
"East Buttress","6. Middle Cathedral Rock > P. Cathedral Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105915125/east-buttress,3.6,-1,"Trad, Aid","5.10c A0",11,1100,37.7165,-119.6363
"West Face","Leaning Tower > Q. Leaning Tower Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/106187777/west-face,3.7,-1,"Trad, Aid","5.7 C2",11,1000,37.71281,-119.64769
Manana,"N. Sentinel Creek Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/106615858/manana,3.8,-1,Trad,5.10d,1,120,37.72639,-119.60144
"Northeast Buttress","5. Higher Cathedral Rock > P. Cathedral Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105862896/northeast-buttress,3.7,-1,Trad,"5.9+ PG13",11,,37.71439,-119.63469
"The Great Escape","L.  The Chapel Wall > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105867142/the-great-escape,3.7,-1,Sport,5.11d,4,449,37.738,-119.59215
"Regular Route (Higher Cathedral Spire)","3. Higher Cathedral Spire > P. Cathedral Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105956387/regular-route-higher-cathedral-spire,3.5,-1,Trad,5.9,4,400,37.71404,-119.63226
Yin-Yang,"N. Sentinel Creek Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/107201090/yin-yang,3.7,-1,Trad,5.10d,2,120,37.72639,-119.60144
"Braille Book","5. Higher Cathedral Rock > P. Cathedral Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105833552/braille-book,3.5,-1,Trad,5.8+,6,700,37.71439,-119.63469
"Center of the Universe","Fifi Buttress > Q. Leaning Tower Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/111928132/center-of-the-universe,3.4,-1,Trad,5.11-,13,1000,37.71073,-119.65013
"Monday Morning Slab, Harry Daley Route","5. Monday Morning Slab > I. Glacier Point Apron > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105939242/monday-morning-slab-harry-daley-route,3.4,-1,Trad,5.8,2,210,37.73295,-119.56601
"Mac Daddy","Lower Cathedral Rock > 7. Lower Cathedral Area > P. Cathedral Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/106790674/mac-daddy,3.5,-1,Sport,5.11a,1,90,37.71843,-119.64659
